UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
SVW,"Global Jet Luxembourg, Sa",13
SY,Sun Country Airlines d/b/a MN Airlines,18746
TB,TUI Airlines Belgium N.V. d/b/a Jetairfly,43
TIQ,Tyrolean Jet Service,4
TP,TAP-TAP Air Portugal,1
U7,USA Jet Airlines Inc.,2834
UA,United Air Lines Inc.,513022
US,US Airways Inc.,195400
V8,Iliamna Air Taxi,5525
VC,Via Airlines d/b/a Sterling Airways,3545
VI,Vieques Air Link Inc.,16257
VIQ,Volga-Dnepr Airlines,55
VJT,VistaJet Limited,41
VS,Virgin Atlantic Airways,15
VSA,VistaJet Luftfahrtunternehmen GmbH,1
VX,Virgin America,61381
WE,Centurion Cargo Inc.,50
WG,Sunwing Airlines Inc.,47
WI,Sky Lease Cargo,325
WL,"Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",634
WN,Southwest Airlines Co.,1249070
WP,Island Air Hawaii,10440
WRD,Ward Air,128
WST,Friday Harbor Seaplanes,578
X4,Air Excursions LLC,2039
X9,Omni Air International LLC,775
XL,Lan Ecuador,2
XP,TEM Enterprises dba  Avelo Airlines,577
YR,"Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",22520
YV,Mesa Airlines Inc.,169770
YX,Republic Airline,222601
Z3,"Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1443
Z3Q,"PM Air, LLC",6334
ZK,Great Lakes Airlines,23925
ZW,Air Wisconsin Airlines Corp,148791
ZX,Air Georgian,18
All Rows,All Rows (including those not displayed),8689086
04Q,Tradewind Aviation,5979
09Q,"Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",3290
0BQ,DCA,12
0CQ,ACM AIR CHARTER GmbH,27
0Q,Flying Service N.V.,8
0QQ,TAG Aviation (UK) Ltd.,2
0RQ,TAG Aviation Espana S.L.,21
0WQ,Avjet Corporation,1812
13Q,Chartright Air Inc.,200
14Q,London Air Services Limited,137
15Q,Air Alsie A/S,38
17Q,Albinati Aeronautics SA,6
1BQ,"Eastern Airlines f/k/a Dynamic Airways, LLC",127
1EQ,"KaiserAir, Inc.",279
1HQ,International Jet Management GmbH,1
1LQ,Bertelsmann Aviation GmbH,3
1PQ,Makani Kai Air Charters,3168
1QQ,City Wings Inc dba Seaflight,3978
1TQ,Rhoades Aviation dba Transair,2864
1UQ,Gainjet Aviation SA,44
1WQ,Ultimate JetCharters LLC dba Ultimate Air Shuttle,3105
1XQ,Dassault Falcon Service,8
1YQ,"Air Charter, Inc d/b/a Air Flamenco",12714
20Q,Orange Air,5
22Q,Gem Air LLC,191
23Q,Songbird Airways Inc.,50
24Q,Jet Story,12
26Q,Albinati aviation Limited,7
27Q,"Jet Aviation Flight Services, Inc.",841
28Q,Menagerie Enterprises Inc d/b/a Monarch Air,2308
29Q,Erickson Helicopters,358
2AQ,ABS JETS A.S,3
2E,Smokey Bay Air Inc.,12229
2F,Frontier Flying Service,444
2GQ,Cavok Air LLC,11
2HQ,Elite Airways LLC,1002
2JQ,Delux Public Charter LLC,1931
2KQ,Longtail Aviation Ltd.,9
2O,Island Air Service,9769
2TQ,Trans Northern Airways d/b/a Air Unlimited Charter Services,88
2UQ,Svenskt Industriflyg AB,1
3E,"Multi-Aero, Inc. d/b/a Air Choice One",17073
3F,"Pacific Airways, Inc.",8169
3M,Silver Airways,28698
3S,AeroLogic GmbH,96
4B,Boutique Air,25430
4C,Aerovias de Intergracian Regional,1
4W,Warbelow,11266
4Y (1),Yute Air Aka Flight Alaska,38722
5D,Aerolitoral,9
5V,Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo,6549
5X,United Parcel Service,106916
5Y,Atlas Air Inc.,8798
7H,NEW PACIFIC AIRLINES,25699
7S,Ryan Air f/k/a Arctic Transportation,14517
8C,Air Transport International,6898
8D,"Dynamic Aviation, Inc. d/b/a Beacon",320
8E,Bering Air Inc.,30683
8V,Wright Air Service,15035
9E,Endeavor Air Inc.,194596
9K,"Hyannis Air Service, Inc. dba Cape Air",107966
9S,Southern Air Inc.,4399
9X,"Southern Airways Express, dba Mokulele Airlines",12154
AA,American Airlines Inc.,906890
AAB,Abelag Aviation AG,1
AAT,Air Sunshine Inc.,1224
AB,Air Berlin PLC and CO,1
ABX,ABX Air Inc,11024
AC,Air Canada,176
ADB,Antonov Company,17
AF,Compagnie Natl Air France,14
AJQ,Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways,1506
AM,Aeromexico,21
AMQ,Ameristar Air Cargo,1107
AS,Alaska Airlines Inc.,179647
AX,Trans States Airlines,75987
B6,JetBlue Airways,279540
BA,British Airways Plc,31
BR,Eva Airways Corporation,1960
C5,CommuteAir LLC dba CommuteAir,40549
CA,Air China,353
CAQ,Challenge Air Luftverkehrs GmbH,5
CC,Air Atlanta Icelandic,2
CH,Bemidji Airlines,686
CI,China Airlines Ltd.,2993
CK,China Cargo Airline,800
CP (2),Compass Airlines,99239
CX,Cathay Pacific Airways Ltd.,3824
DE,Condor Flugdienst,8
DL,Delta Air Lines Inc.,925717
DY,Norwegian Air Shuttle ASA,3
EE,Eastern Airlines Group Inc.,918
ELL,Ellis Air Taxi Inc.,408
EM,Empire Airlines Inc.,31914
EV,ExpressJet Airlines LLC d/b/a aha!,486274
EY,Etihad Airways,3
F9,Frontier Airlines Inc.,94078
FP,TAG Aviation S.A.,11
FX,Federal Express Corporation,272718
G3,VRG Linhas Aereas S A,10
G4,Allegiant Air,78535
G7,GoJet Airlines LLC d/b/a United Express,82349
GCH,Grand Canyon Helicopters,690
GFQ,Gulf And Caribbean Cargo,1199
GL,Miami Air International,2138
GV,Grant Aviation,49758
H6,Hageland Aviation Service,107805
HA,Hawaiian Airlines Inc.,76972
HBQ,Harris Air Services,126
I4,Scott Air LLC dba Island Air Express,3502
IB,Iberia Air Lines Of Spain,1
IGA,"Global Jet Austria, GmbH",2
