
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"-","Unknown",750
"02Q","Titan Airways",11
"04Q","Tradewind Aviation",5951
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",13603
"0BQ","DCA",20
"0CQ","ACM AIR CHARTER GmbH",48
"0Q","Flying Service N.V.",12
"0UQ","Comlux Malta, Ltd.",4
"10Q","Swiss Air Ambulance",2
"13Q","Chartright Air Inc.",429
"14Q","London Air Services Limited",150
"15Q","Air Alsie A/S",77
"17Q","Albinati Aeronautics SA",1
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",122
"1EQ","KaiserAir, Inc.",324
"1HQ","International Jet Management GmbH",26
"1QQ","City Wings Inc dba Seaflight",2726
"1UQ","Gainjet Aviation SA",34
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",95
"1XQ","Dassault Falcon Service",6
"1YQ","Air Charter, Inc d/b/a Air Flamenco",6573
"1ZQ","Comlux Aruba NV",12
"24Q","Jet Story",13
"25Q","Mjet GmbH",9
"26Q","Albinati aviation Limited",2
"27Q","Jet Aviation Flight Services, Inc.",1355
"2AQ","ABS JETS A.S",17
"2E","Smokey Bay Air Inc.",8684
"2GQ","Cavok Air LLC",14
"2HQ","Elite Airways LLC",175
"2JQ","Delux Public Charter LLC",29901
"2KQ","Longtail Aviation Ltd.",16
"2LQ","Tropic Ocean Airways LLC",1918
"2O","Island Air Service",12232
"2UQ","Svenskt Industriflyg AB",10
"34Q","Polaris Aviation Solutions, LLC",1
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",103
"3AQ","Maritime Helicopters, Inc.",3746
"3E","Multi-Aero, Inc. d/b/a Air Choice One",1064
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1599
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",9215
"3KQ","Junipogo, LLC",97
"3M","Silver Airways",14051
"3S","AeroLogic GmbH",216
"4B","Boutique Air",11713
"4W","Warbelow",5733
"4Y","EUROWINGS DISCOVER GmbH",5
"5D","Aerolitoral",2
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",8503
"5X","United Parcel Service",154949
"5Y","Atlas Air Inc.",23535
"6F","FOX AIRCRAFT, LLC",5489
"7H","NEW PACIFIC AIRLINES",14059
"7S","Ryan Air f/k/a Arctic Transportation",23527
"8C","Air Transport International",30986
"8E","Bering Air Inc.",41850
"8V","Wright Air Service",23989
"9E","Endeavor Air Inc.",224395
"9K","Hyannis Air Service, Inc. dba Cape Air",75742
"9X","Southern Airways Express, dba Mokulele Airlines",81086
"AA","American Airlines Inc.",851272
"ABX","ABX Air Inc",13185
"AC","Air Canada",268
"AD","Azul Linhas Aereas Brazileiras S A",1
"ADB","Antonov Company",28
"AF","Compagnie Natl Air France",11
"ALQ","Alliance Executive Jets Ltd.",4
"AM","Aeromexico",9
"AMQ","Ameristar Air Cargo",1200
"AN","ADVANCED AIR, LLC",8738
"AOQ","Avcon Jet AG",36
"AS","Alaska Airlines Inc.",230795
"ATQ","Bairline Fluggesellschaft",3
