
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"02Q","Titan Airways",10
"04Q","Tradewind Aviation",8746
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",3006
"0BQ","DCA",2
"0CQ","ACM AIR CHARTER GmbH",41
"0J","JetClub AG",1
"0Q","Flying Service N.V.",23
"0UQ","Comlux Malta, Ltd.",9
"10Q","Swiss Air Ambulance",2
"13Q","Chartright Air Inc.",349
"15Q","Air Alsie A/S",66
"17Q","Albinati Aeronautics SA",1
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",141
"1EQ","KaiserAir, Inc.",433
"1HQ","International Jet Management GmbH",17
"1QQ","City Wings Inc dba Seaflight",1748
"1UQ","Gainjet Aviation SA",40
"1XQ","Dassault Falcon Service",2
"1YQ","Air Charter, Inc d/b/a Air Flamenco",2007
"24Q","Jet Story",8
"25Q","Mjet GmbH",5
"27Q","Jet Aviation Flight Services, Inc.",2357
"2AQ","ABS JETS A.S",28
"2E","Smokey Bay Air Inc.",10388
"2JQ","Delux Public Charter LLC",30020
"2LQ","Tropic Ocean Airways LLC",3048
"2NQ","LIMA NY Corp d/b/a Fly The Whale",11691
"2O","Island Air Service",11166
"2UQ","Svenskt Industriflyg AB",2
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",70
"3AQ","Maritime Helicopters, Inc.",3225
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1239
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",1053
"3KQ","Junipogo, LLC",1029
"3M","Silver Airways",16808
"3S","AeroLogic GmbH",580
"4B","Boutique Air",4268
"4W","Warbelow",5967
"4Y","EUROWINGS DISCOVER GmbH",8
"5D","Aerolitoral",11
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",9564
"5X","United Parcel Service",141013
"5Y","Atlas Air Inc.",24452
"6F","FOX AIRCRAFT, LLC",15783
"7H","NEW PACIFIC AIRLINES",5245
"7S","Ryan Air f/k/a Arctic Transportation",20629
"8C","Air Transport International",32062
"8E","Bering Air Inc.",42753
"8V","Wright Air Service",26030
"9E","Endeavor Air Inc.",195935
"9K","Hyannis Air Service, Inc. dba Cape Air",78640
"9X","Southern Airways Express, dba Mokulele Airlines",70039
"AA","American Airlines Inc.",972871
"ABX","ABX Air Inc",15949
"AC","Air Canada",496
"AD","Azul Linhas Aereas Brazileiras S A",1
"ADB","Antonov Company",53
"AF","Compagnie Natl Air France",11
"ALQ","Alliance Executive Jets Ltd.",1
"AM","Aeromexico",14
"AMQ","Ameristar Air Cargo",504
"AN","ADVANCED AIR, LLC",10432
"AOQ","Avcon Jet AG",26
"AQB","Scanwings Oy",1
"AS","Alaska Airlines Inc.",250298
"ATQ","Bairline Fluggesellschaft",1
"AZ","Italia Transporto Aereo S.P.A DBA ITA S.P.A",2
