
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"B6","JetBlue Airways",237796
"BA","British Airways Plc",2
"BAS","Baranautica Air Service LLC",220
"BCQ","Bradley Air Services Ltd.",1
"BQJ","Brenzil Pty. Ltd. d/b/a Brenzil Jet Charter",4
"BR","Eva Airways Corporation",1815
"C5","CommuteAir LLC dba CommuteAir",72608
"CA","Air China",499
"CC","Air Atlanta Icelandic",13
"CI","China Airlines Ltd.",2416
"CK","China Cargo Airline",492
"CRV","Acropolis Aviation Ltd.",3
"CT","Air Atlanta Europe Limited",4
"CX","Cathay Pacific Airways Ltd.",2800
"DE","Condor Flugdienst",8
"DL","Delta Air Lines Inc.",1009255
"EAU","Elitavia Malta Limited",2
"EDQ","Air Charter Scotland Ltd.",11
"ELL","Ellis Air Taxi Inc.",420
"EM","Empire Airlines Inc.",16047
"F9","Frontier Airlines Inc.",204005
"FX","Federal Express Corporation",224520
"G3","VRG Linhas Aereas S A",3
"G4","Allegiant Air",116590
"G7","GoJet Airlines LLC d/b/a United Express",54064
"GCA","Global Crossing Airlines, Inc.",5318
"GCH","Grand Canyon Helicopters",544
"GEQ","Gestair, S.A.",35
"GFQ","Gulf And Caribbean Cargo",1657
"GQQ","Executive Express dba Ravn Connect",566
"GV","Grant Aviation",90900
"HA","Hawaiian Airlines Inc.",79583
"HAQ","Hamilton Jetport Limited",19
"HUQ","Haute Aviation",17
"HYP","Hyperion Aviation Ltd. dba Hyperion",3
"I4","Scott Air LLC dba Island Air Express",5848
"IB","Iberia Air Lines Of Spain",3
"IFQ","FAI rent-a-jet AG",23
"IWQ","Island Wings Ltd. Dba Island Wings Charter",1
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",16223
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",25
"JEQ","Jetflite Oy",3
"JJ","TAM Linhas Aereas SA dba Latam Airlines Brasil",1
"JL","Japan Air Lines Co. Ltd.",1
"JN","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",1697
"JRQ","KENAI AVIATION OPERATIONS, LLC",9004
"JWQ","Global Jet Aruba V.B.A. d/b/a Global Jet Aruba",3
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",33545
"K3","Venture Travel LLC d/b/a Taquan Air Service",5373
"KAH","Kenmore Air Harbor",20521
"KAQ","Kalitta Air LLC",5085
"KAT","Katmai Air",3672
"KD","Western Global",912
"KE","Korean Air Lines Co. Ltd.",3477
"KFQ","Skyfirst Limited",10
"KG","Key Lime Air Corp dba Denver Air Connection",15233
"KH","Aloha Air Cargo",13016
"KLQ","Kalitta Charters II",5571
"KO","Alaska Central Express",15208
"KX","Cayman Airways Limited",3
"KZ","Nippon Cargo Airlines",1491
"L2","Lynden Air Cargo Airlines",2446
"L7","Lan Colombia",303
"LA","LATAM Airlines Group SA dba Lan Airlines",21
"LDQ","Sparfell Luftfahrt GmbH",2
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",28269
"LH","Lufthansa German Airlines",45
"LP","Lan Peru Airlines",4
"LX","Swiss International Airlines",6
"M3","ABSA-Aerolinhas Brasileiras",4
"M6","Amerijet International",3194
"MP","Martinair Holland N.V.",1
"MQ","Envoy Air",276659
"MU","China Eastern Airlines",52
"MX","Breeze Aviation Group DBA  Breeze",43222
"N8","National Air Cargo Group Inc d/ba National Airlines",679
"NC","Northern Air Cargo Inc.",5353
"NEW","New England Airlines Inc.",6165
"NIQ","AVCON JET MALTA LTD",5
"NK","Spirit Air Lines",256683
"NLQ","Nolinor Aviation",5
"OH","PSA Airlines Inc.",224750
"OO","SkyWest Airlines Inc.",751620
"OZ","Asiana Airlines Inc.",2358
"PAF","Pathfinder Aviation",108
"PFQ","Asia Pacific",579
"PO","Polar Air Cargo Airways",939
"PR","Philippine Airlines Inc.",1
"PT","Piedmont Airlines",114114
"PTQ","Pontair Ltd.",14
"Q5","40-Mile Air",899
"QF","Qantas Airways Ltd.",484
"QFX","Sparfell Malta Ltd",79
"QX","Horizon Air",82294
"RV","Air Canada rouge LP",17
"RVQ","Reeve Air Alaska, LLC",814
"S2","Star Marianas Air Inc.",25185
"SEB","Seaborne Virgin Islands, Inc.",1042
"SNK","Spernak Airways Inc.",3722
"SQ","Singapore Airlines Ltd.",211
"SVW","Global Jet Luxembourg, Sa",29
"SWQ","Swiss Private Jet S.A.",10
"SY","Sun Country Airlines d/b/a MN Airlines",47825
"TA","Taca International Airlines",2
"TIQ","Tyrolean Jet Service",4
"TK","Turk Hava Yollari A.O.",229
"TP","TAP-TAP Air Portugal",8
"TQ","Tailwind Air, LLC",9
"U7","USA Jet Airlines Inc.",2327
"UA","United Air Lines Inc.",751963
"V8","Iliamna Air Taxi",3993
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",46
"VC","Via Airlines d/b/a Sterling Airways",2671
"VI","Vieques Air Link Inc.",13066
"VJT","VistaJet Limited",9
"VS","Virgin Atlantic Airways",8
"W2","FlexFlight AsP",9
"WGT","Volkswagen AirSevice GmbH dba Volkswagon",27
"WI","Sky Lease Cargo",382
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",127
"WN","Southwest Airlines Co.",1411345
"WS","Westjet",2
"WST","Friday Harbor Seaplanes",1124
"X4","Air Excursions LLC",1873
"X9","Omni Air International LLC",358
"XL","Lan Ecuador",22
"XP","TEM Enterprises dba  Avelo Airlines",19448
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",9154
"YV","Mesa Airlines Inc.",89467
"YX","Republic Airline",296891
"Z3Q","PM Air, LLC",5328
"ZPQ","Silk Way Airlines, LLC",3
"ZW","Air Wisconsin Airlines Corp",51738
"All Rows","All Rows (including those not displayed)",8852454
