
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"PR","Philippine Airlines Inc.",67
"PRQ","Florida West Airlines Inc.",41
"PT","Piedmont Airlines",88292
"Q5","40-Mile Air",914
"QF","Qantas Airways Ltd.",1315
"QK","Jazz Aviation LP",2
"QX","Horizon Air",121013
"RU","AirBridgeCargo Airlines Limited",1488
"RV","Air Canada rouge LP",18
"RVQ","Reeve Air Alaska, LLC",204
"S2","Star Marianas Air Inc.",25651
"S5","Shuttle America Corp.",90402
"SEB","Seaborne Virgin Islands, Inc.",11294
"SNK","Spernak Airways Inc.",3834
"SQ","Singapore Airlines Ltd.",354
"SVW","Global Jet Luxembourg, Sa",23
"SY","Sun Country Airlines d/b/a MN Airlines",19800
"TB","TUI Airlines Belgium N.V. d/b/a Jetairfly",50
"TIQ","Tyrolean Jet Service",3
"TP","TAP-TAP Air Portugal",4
"U7","USA Jet Airlines Inc.",2631
"UA","United Air Lines Inc.",542855
"V8","Iliamna Air Taxi",4852
"VC","Via Airlines d/b/a Sterling Airways",4258
"VI","Vieques Air Link Inc.",15211
"VIQ","Volga-Dnepr Airlines",37
"VJT","VistaJet Limited",47
"VS","Virgin Atlantic Airways",15
"VX","Virgin America",68468
"WE","Centurion Cargo Inc.",6
"WG","Sunwing Airlines Inc.",70
"WI","Sky Lease Cargo",317
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",2378
"WN","Southwest Airlines Co.",1286581
"WP","Island Air Hawaii",11590
"WRD","Ward Air",128
"WST","Friday Harbor Seaplanes",764
"X4","Air Excursions LLC",1914
"X9","Omni Air International LLC",512
"XL","Lan Ecuador",6
"XP","TEM Enterprises dba  Avelo Airlines",1456
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",21324
"YV","Mesa Airlines Inc.",189994
"YX","Republic Airline",196698
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",1743
"Z3Q","PM Air, LLC",2990
"ZK","Great Lakes Airlines",17937
"ZW","Air Wisconsin Airlines Corp",130333
"ZX","Air Georgian",6
"All Rows","All Rows (including those not displayed)",8829635
