
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"02Q","Titan Airways",1
"04Q","Tradewind Aviation",4118
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",8498
"0Q","Flying Service N.V.",3
"0UQ","Comlux Malta, Ltd.",7
"13Q","Chartright Air Inc.",120
"14Q","London Air Services Limited",52
"15Q","Air Alsie A/S",31
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",19
"1EQ","KaiserAir, Inc.",265
"1HQ","International Jet Management GmbH",3
"1QQ","City Wings Inc dba Seaflight",1206
"1TQ","Rhoades Aviation dba Transair",6405
"1UQ","Gainjet Aviation SA",3
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",1271
"1YQ","Air Charter, Inc d/b/a Air Flamenco",4519
"1ZQ","Comlux Aruba NV",11
"22Q","Gem Air LLC",194
"24Q","Jet Story",8
"25Q","Mjet GmbH",2
"27Q","Jet Aviation Flight Services, Inc.",1244
"2AQ","ABS JETS A.S",3
"2E","Smokey Bay Air Inc.",6605
"2GQ","Cavok Air LLC",34
"2HQ","Elite Airways LLC",225
"2JQ","Delux Public Charter LLC",11939
"2KQ","Longtail Aviation Ltd.",26
"2LQ","Tropic Ocean Airways LLC",587
"2O","Island Air Service",11165
"2UQ","Svenskt Industriflyg AB",8
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",8
"3AQ","Maritime Helicopters, Inc.",2631
"3E","Multi-Aero, Inc. d/b/a Air Choice One",12309
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1302
"3F","Pacific Airways, Inc.",70
"3M","Silver Airways",8575
"3S","AeroLogic GmbH",133
"4B","Boutique Air",30350
"4W","Warbelow",3455
"5D","Aerolitoral",1
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",7685
"5X","United Parcel Service",153800
"5Y","Atlas Air Inc.",25970
"6R","Aerounion Aerotransporte de Carga Union SA de CV",6
"7H","NEW PACIFIC AIRLINES",3557
"7S","Ryan Air f/k/a Arctic Transportation",23721
"8C","Air Transport International",21280
"8E","Bering Air Inc.",30314
"8V","Wright Air Service",17981
"9E","Endeavor Air Inc.",204750
"9K","Hyannis Air Service, Inc. dba Cape Air",79295
"9S","Southern Air Inc.",7854
"9X","Southern Airways Express, dba Mokulele Airlines",36374
"AA","American Airlines Inc.",536776
"AAT","Air Sunshine Inc.",394
"ABX","ABX Air Inc",13047
"AC","Air Canada",109
"ADB","Antonov Company",41
"AF","Compagnie Natl Air France",5
"AM","Aeromexico",7
"AMQ","Ameristar Air Cargo",767
"AN","ADVANCED AIR, LLC",5992
"AOQ","Avcon Jet AG",2
"AS","Alaska Airlines Inc.",141002
"AX","Trans States Airlines",17300
"B6","JetBlue Airways",136674
"BA","British Airways Plc",5
"BR","Eva Airways Corporation",1152
"C5","CommuteAir LLC dba CommuteAir",31625
"CA","Air China",588
"CC","Air Atlanta Icelandic",4
"CH","Bemidji Airlines",471
"CI","China Airlines Ltd.",3576
"CK","China Cargo Airline",642
"CP (2)","Compass Airlines",14706
"CRV","Acropolis Aviation Ltd.",2
"CX","Cathay Pacific Airways Ltd.",4016
"DL","Delta Air Lines Inc.",557088
"DY","Norwegian Air Shuttle ASA",1
"E9","Evelop Airlines SL",2
"EAU","Elitavia Malta Limited",43
"EB","WAMOS AIR SA",2
"ELL","Ellis Air Taxi Inc.",380
"EM","Empire Airlines Inc.",28267
"EV","ExpressJet Airlines LLC d/b/a aha!",49114
"F9","Frontier Airlines Inc.",86512
"FX","Federal Express Corporation",271505
"FYQ","Flying Group Lux S.A.",2
"G3","VRG Linhas Aereas S A",1
"G4","Allegiant Air",85139
"G7","GoJet Airlines LLC d/b/a United Express",36721
"GCH","Grand Canyon Helicopters",178
"GEQ","Gestair, S.A.",7
"GFQ","Gulf And Caribbean Cargo",1695
"GL","Miami Air International",430
"GV","Grant Aviation",53182
"H6","Hageland Aviation Service",13785
"HA","Hawaiian Airlines Inc.",38641
"HYP","Hyperion Aviation Ltd. dba Hyperion",5
"I4","Scott Air LLC dba Island Air Express",3240
"IFQ","FAI rent-a-jet AG",6
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",12331
"JCO","Concierge U Ltd. d/b/a Jet Concierge Club",6
"JJ","TAM Linhas Aereas SA dba Latam Airlines Brasil",8
"JN","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",1326
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",17630
"K3","Venture Travel LLC d/b/a Taquan Air Service",4854
"KAH","Kenmore Air Harbor",5747
"KAQ","Kalitta Air LLC",10463
"KAT","Katmai Air",919
"KD","Western Global",2376
"KE","Korean Air Lines Co. Ltd.",3493
"KG","Key Lime Air Corp dba Denver Air Connection",3510
"KH","Aloha Air Cargo",7806
"KL","Klm Royal Dutch Airlines",1
"KLQ","Kalitta Charters II",4822
"KO","Alaska Central Express",15525
"KS","Peninsula Airways Inc.",994
"KV","Sky Regional Airlines Inc.",6
"KZ","Nippon Cargo Airlines",1540
"L2","Lynden Air Cargo Airlines",3139
"L7","Lan Colombia",13
"LA","LATAM Airlines Group SA dba Lan Airlines",57
"LDQ","Sparfell Luftfahrt GmbH",4
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",11268
"LH","Lufthansa German Airlines",54
"LO","Polskie Linie Lotnicze",3
"LP","Lan Peru Airlines",7
"LX","Swiss International Airlines",1
"LXQ","Luxaviation Germany GmbH",21
"LY","El Al Israel Airlines Ltd.",7
"M3","ABSA-Aerolinhas Brasileiras",3
"M6","Amerijet International",2943
"MQ","Envoy Air",200595
"MW","Mokulele Flight Services, Inc.",492
"N8","National Air Cargo Group Inc d/ba National Airlines",484
"NC","Northern Air Cargo Inc.",4920
"NEW","New England Airlines Inc.",6510
"NK","Spirit Air Lines",132401
"OH","PSA Airlines Inc.",185166
"OO","SkyWest Airlines Inc.",578574
"OZ","Asiana Airlines Inc.",3500
"PAF","Pathfinder Aviation",50
"PFQ","Asia Pacific",504
"PH","Polynesian Airlines Ltd.",529
"PM","Prescott Support Company, Inc.",41
"PO","Polar Air Cargo Airways",3366
"PR","Philippine Airlines Inc.",7
"PT","Piedmont Airlines",66995
"Q5","40-Mile Air",939
"QF","Qantas Airways Ltd.",809
"QX","Horizon Air",91867
"RU","AirBridgeCargo Airlines Limited",137
"RV","Air Canada rouge LP",4
"RVQ","Reeve Air Alaska, LLC",220
"S2","Star Marianas Air Inc.",17067
"SEB","Seaborne Virgin Islands, Inc.",4600
"SNK","Spernak Airways Inc.",2847
"SQ","Singapore Airlines Ltd.",231
"SVW","Global Jet Luxembourg, Sa",2
"SY","Sun Country Airlines d/b/a MN Airlines",21071
"TK","Turk Hava Yollari A.O.",171
"U7","USA Jet Airlines Inc.",2243
"UA","United Air Lines Inc.",288494
"V8","Iliamna Air Taxi",3732
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",16
"VH","Fast Colombia SAS d/b/a Viva Colombia",1
"VI","Vieques Air Link Inc.",12774
