
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"VIQ","Volga-Dnepr Airlines",10
"VJT","VistaJet Limited",4
"WG","Sunwing Airlines Inc.",14
"WGT","Volkswagen AirSevice GmbH dba Volkswagon",5
"WI","Sky Lease Cargo",395
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",81
"WN","Southwest Airlines Co.",928109
"WST","Friday Harbor Seaplanes",578
"X4","Air Excursions LLC",1001
"X7","Challenge Airlines (BE) S.A.",7
"X9","Omni Air International LLC",329
"XP","TEM Enterprises dba  Avelo Airlines",24
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",3720
"YV","Mesa Airlines Inc.",128536
"YX","Republic Airline",209650
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",3782
"Z3Q","PM Air, LLC",3208
"ZW","Air Wisconsin Airlines Corp",50443
"All Rows","All Rows (including those not displayed)",5936974
