
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"-","Unknown",172
"02Q","Titan Airways",4
"04Q","Tradewind Aviation",6308
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",4105
"0BQ","DCA",14
"0CQ","ACM AIR CHARTER GmbH",23
"0Q","Flying Service N.V.",9
"0WQ","Avjet Corporation",1294
"13Q","Chartright Air Inc.",314
"14Q","London Air Services Limited",835
"15Q","Air Alsie A/S",46
"17Q","Albinati Aeronautics SA",2
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",133
"1EQ","KaiserAir, Inc.",315
"1HQ","International Jet Management GmbH",8
"1PQ","Makani Kai Air Charters",1320
"1QQ","City Wings Inc dba Seaflight",3250
"1TQ","Rhoades Aviation dba Transair",4763
"1UQ","Gainjet Aviation SA",14
"1WQ","Ultimate JetCharters LLC dba Ultimate Air Shuttle",2898
"1XQ","Dassault Falcon Service",3
"1YQ","Air Charter, Inc d/b/a Air Flamenco",3343
"1ZQ","Comlux Aruba NV",3
"22Q","Gem Air LLC",296
"24Q","Jet Story",7
"25Q","Mjet GmbH",3
"26Q","Albinati aviation Limited",1
"27Q","Jet Aviation Flight Services, Inc.",3681
"28Q","Menagerie Enterprises Inc d/b/a Monarch Air",0
"2AQ","ABS JETS A.S",13
"2E","Smokey Bay Air Inc.",12317
"2F","Frontier Flying Service",53
"2GQ","Cavok Air LLC",3
"2HQ","Elite Airways LLC",1323
"2JQ","Delux Public Charter LLC",6859
"2LQ","Tropic Ocean Airways LLC",329
"2O","Island Air Service",10068
"2RQ","Luxaviation S A",2
"2TQ","Trans Northern Airways d/b/a Air Unlimited Charter Services",43
"2UQ","Svenskt Industriflyg AB",15
"30Q","Public Charters, Inc. d/b/a North Country Sky d/b/a Regional Sky d/b/a Texas Sky",73
"34Q","Polaris Aviation Solutions, LLC",16
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",1
"37Q","Eastern Air Express, LLC (EAX)",45
"3AQ","Maritime Helicopters, Inc.",2668
"3DQ","Rectrix Aviation, Inc.",2286
"3E","Multi-Aero, Inc. d/b/a Air Choice One",14596
"3F","Pacific Airways, Inc.",6726
"3M","Silver Airways",20215
"4B","Boutique Air",33757
"4W","Warbelow",7671
"5D","Aerolitoral",14
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",6039
"5X","United Parcel Service",120670
"5Y","Atlas Air Inc.",24709
"7H","NEW PACIFIC AIRLINES",21303
"7S","Ryan Air f/k/a Arctic Transportation",15584
"8C","Air Transport International",13472
"8E","Bering Air Inc.",31328
"8V","Wright Air Service",15457
"9E","Endeavor Air Inc.",240322
"9K","Hyannis Air Service, Inc. dba Cape Air",96293
"9S","Southern Air Inc.",3478
"9X","Southern Airways Express, dba Mokulele Airlines",29557
"AA","American Airlines Inc.",904987
"AAT","Air Sunshine Inc.",886
"ABX","ABX Air Inc",11281
"AC","Air Canada",221
"ADB","Antonov Company",61
"AF","Compagnie Natl Air France",4
"AJQ","Aerodynamics Inc. d/b/a SkyValue d/b/a SkyValue Airways",2756
"AM","Aeromexico",26
"AMQ","Ameristar Air Cargo",964
"AN","ADVANCED AIR, LLC",2303
"AS","Alaska Airlines Inc.",251181
"AX","Trans States Airlines",80817
"AY","Finnair Oy",3
"B6","JetBlue Airways",299723
"BA","British Airways Plc",34
"BCQ","Bradley Air Services Ltd.",1
"BR","Eva Airways Corporation",1358
"C5","CommuteAir LLC dba CommuteAir",45903
"CA","Air China",702
"CC","Air Atlanta Icelandic",14
"CH","Bemidji Airlines",580
"CI","China Airlines Ltd.",3099
"CK","China Cargo Airline",866
"CP (2)","Compass Airlines",96537
"CRV","Acropolis Aviation Ltd.",2
"CX","Cathay Pacific Airways Ltd.",4077
"D8","Norwegian Air International Ltd.",2
"DE","Condor Flugdienst",15
"DI","Norwegian Air UK Limited",6
"DL","Delta Air Lines Inc.",953511
"DY","Norwegian Air Shuttle ASA",13
"ELL","Ellis Air Taxi Inc.",420
"EM","Empire Airlines Inc.",27412
"EV","ExpressJet Airlines LLC d/b/a aha!",200572
"EY","Etihad Airways",1
"F9","Frontier Airlines Inc.",117666
"FP","TAG Aviation S.A.",1
"FX","Federal Express Corporation",271550
"FYQ","Flying Group Lux S.A.",3
"G3","VRG Linhas Aereas S A",5
"G4","Allegiant Air",96891
"G7","GoJet Airlines LLC d/b/a United Express",88080
"GCH","Grand Canyon Helicopters",240
"GCQ","Glock Aviation GmbH",7
"GFQ","Gulf And Caribbean Cargo",1316
"GL","Miami Air International",1590
"GV","Grant Aviation",48019
"H6","Hageland Aviation Service",97944
"HA","Hawaiian Airlines Inc.",84011
"HBQ","Harris Air Services",3423
"I4","Scott Air LLC dba Island Air Express",5603
"IB","Iberia Air Lines Of Spain",2
"J5","Kalinin Aviation LLC d/b/a Alaska Seaplanes",21276
"JJ","TAM Linhas Aereas SA dba Latam Airlines Brasil",6
"JN","J&M Alaska Air Tours, Inc. d/b/a Alaska Air Transit",224
"K2","Paklook Air, Inc d/b/a/ Airlift Alaska d/b/a/ Yute Commuter Service",19389
"K3","Venture Travel LLC d/b/a Taquan Air Service",8841
"KAH","Kenmore Air Harbor",12389
"KAQ","Kalitta Air LLC",6274
"KAT","Katmai Air",3365
"KD","Western Global",3617
"KE","Korean Air Lines Co. Ltd.",3259
"KFQ","Skyfirst Limited",1
"KG","Key Lime Air Corp dba Denver Air Connection",2539
"KH","Aloha Air Cargo",8179
"KL","Klm Royal Dutch Airlines",3
"KLQ","Kalitta Charters II",3652
"KO","Alaska Central Express",13227
"KS","Peninsula Airways Inc.",8684
"KV","Sky Regional Airlines Inc.",45
"KX","Cayman Airways Limited",5
"KZ","Nippon Cargo Airlines",1271
"L2","Lynden Air Cargo Airlines",2398
"LA","LATAM Airlines Group SA dba Lan Airlines",2
"LF","CFM Inc d/b/a Contour Airlines d/b/a One Jet Shuttle",12207
"LH","Lufthansa German Airlines",306
"LP","Lan Peru Airlines",6
"LXQ","Luxaviation Germany GmbH",50
"M3","ABSA-Aerolinhas Brasileiras",1
"M6","Amerijet International",1316
"MP","Martinair Holland N.V.",1
"MQ","Envoy Air",286506
"MW","Mokulele Flight Services, Inc.",42226
"N8","National Air Cargo Group Inc d/ba National Airlines",202
"NC","Northern Air Cargo Inc.",5393
"NEW","New England Airlines Inc.",7996
"NK","Spirit Air Lines",174745
"NLQ","Nolinor Aviation",1
"O6","Oceanair Linhas Aereas S A",2
"OH","PSA Airlines Inc.",267196
"OJ","Fly Jamaica Airways Limited",2
"OO","SkyWest Airlines Inc.",771279
"OZ","Asiana Airlines Inc.",3477
"P3","Cargologicair Limited",34
"PBQ","Privatair",2
"PEQ","SkyLink Express Inc.",1
"PF","Primera Air Scandinavia",1
"PFQ","Asia Pacific",361
"PH","Polynesian Airlines Ltd.",492
"PO","Polar Air Cargo Airways",2094
"PR","Philippine Airlines Inc.",17
"PT","Piedmont Airlines",91801
"Q5","40-Mile Air",639
"QF","Qantas Airways Ltd.",1354
"QX","Horizon Air",111936
"RJ","Alia-(The) Royal Jordanian",1
"RU","AirBridgeCargo Airlines Limited",1110
"RV","Air Canada rouge LP",28
"RVQ","Reeve Air Alaska, LLC",206
"S2","Star Marianas Air Inc.",27619
"SE","XL Airways France",1
"SEB","Seaborne Virgin Islands, Inc.",8510
"SK","Scandinavian Airlines Sys.",4
"SNK","Spernak Airways Inc.",4101
"SQ","Singapore Airlines Ltd.",278
"SVW","Global Jet Luxembourg, Sa",15
"SY","Sun Country Airlines d/b/a MN Airlines",20836
"TP","TAP-TAP Air Portugal",3
"U7","USA Jet Airlines Inc.",2802
"UA","United Air Lines Inc.",619991
"UX","Air Europa",2
"V8","Iliamna Air Taxi",5498
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",4
"VC","Via Airlines d/b/a Sterling Airways",4773
"VI","Vieques Air Link Inc.",14626
"VIQ","Volga-Dnepr Airlines",66
"VJT","VistaJet Limited",4
"VS","Virgin Atlantic Airways",9
"VX","Virgin America",17267
"WG","Sunwing Airlines Inc.",65
"WI","Sky Lease Cargo",343
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",1503
"WN","Southwest Airlines Co.",1337001
"WRD","Ward Air",96
"WS","Westjet",1
"WST","Friday Harbor Seaplanes",934
"X4","Air Excursions LLC",2433
"X9","Omni Air International LLC",649
"XL","Lan Ecuador",2
"XP","TEM Enterprises dba  Avelo Airlines",650
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",20269
"YV","Mesa Airlines Inc.",210029
"YX","Republic Airline",307262
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",4189
"Z3Q","PM Air, LLC",3520
"ZK","Great Lakes Airlines",1244
"ZW","Air Wisconsin Airlines Corp",98278
"All Rows","All Rows (including those not displayed)",9093670
