
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"02Q","Titan Airways",11
"04Q","Tradewind Aviation",7184
"07Q","Flair Airlines Ltd.",2
"09Q","Swift Air, LLC d/b/a Eastern Air Lines d/b/a Eastern",12510
"0BQ","DCA",4
"0CQ","ACM AIR CHARTER GmbH",49
"0Q","Flying Service N.V.",24
"0UQ","Comlux Malta, Ltd.",13
"10Q","Swiss Air Ambulance",4
"13Q","Chartright Air Inc.",204
"14Q","London Air Services Limited",102
"15Q","Air Alsie A/S",76
"1BQ","Eastern Airlines f/k/a Dynamic Airways, LLC",109
"1EQ","KaiserAir, Inc.",274
"1HQ","International Jet Management GmbH",23
"1QQ","City Wings Inc dba Seaflight",2696
"1UQ","Gainjet Aviation SA",41
"1XQ","Dassault Falcon Service",2
"1YQ","Air Charter, Inc d/b/a Air Flamenco",6180
"1ZQ","Comlux Aruba NV",5
"24Q","Jet Story",9
"25Q","Mjet GmbH",6
"2AQ","ABS JETS A.S",13
"2E","Smokey Bay Air Inc.",9284
"2JQ","Delux Public Charter LLC",33719
"2LQ","Tropic Ocean Airways LLC",2348
"2NQ","LIMA NY Corp d/b/a Fly The Whale",6789
"2O","Island Air Service",11716
"2UQ","Svenskt Industriflyg AB",7
"34Q","Polaris Aviation Solutions, LLC",3
"36Q","Air Hamburg Luftverkehrsgesellschaft mbH",87
"3AQ","Maritime Helicopters, Inc.",3367
"3EQ","Scott Aviation, LLC  d/b/a  Silver Air",1348
"3FQ","Western Air Charter, Inc.  d/b/a  Jet Edge",5676
"3KQ","Junipogo, LLC",932
"3M","Silver Airways",17203
"3S","AeroLogic GmbH",173
"4B","Boutique Air",5691
"4W","Warbelow",5851
"4Y","EUROWINGS DISCOVER GmbH",13
"5D","Aerolitoral",12
"5V","Tatonduk Outfitters Limited d/b/a Everts Air Alaska and Everts Air Cargo",9172
"5X","United Parcel Service",138376
"5Y","Atlas Air Inc.",22562
"6F","FOX AIRCRAFT, LLC",14357
"7H","NEW PACIFIC AIRLINES",11167
"7L","Silk Way West Airlines",20
"7S","Ryan Air f/k/a Arctic Transportation",20809
"8C","Air Transport International",32817
"8E","Bering Air Inc.",42843
"8V","Wright Air Service",25173
"9E","Endeavor Air Inc.",197766
"9K","Hyannis Air Service, Inc. dba Cape Air",69432
"9X","Southern Airways Express, dba Mokulele Airlines",74377
"AA","American Airlines Inc.",933815
"ABX","ABX Air Inc",14306
"AC","Air Canada",404
"AD","Azul Linhas Aereas Brazileiras S A",1
"ADB","Antonov Company",82
"AF","Compagnie Natl Air France",12
"ALQ","Alliance Executive Jets Ltd.",2
"AM","Aeromexico",16
"AMQ","Ameristar Air Cargo",614
"AN","ADVANCED AIR, LLC",7870
"AOQ","Avcon Jet AG",22
"ARQ","Flightworx Aviation Ltd",1
"AS","Alaska Airlines Inc.",252027
"ATQ","Bairline Fluggesellschaft",2
"B6","JetBlue Airways",270625
"BAS","Baranautica Air Service LLC",213
"BR","Eva Airways Corporation",1605
"C5","CommuteAir LLC dba CommuteAir",71619
"CA","Air China",346
"CC","Air Atlanta Icelandic",32
"CI","China Airlines Ltd.",2616
"CK","China Cargo Airline",486
"CX","Cathay Pacific Airways Ltd.",3163
"DE","Condor Flugdienst",20
"DL","Delta Air Lines Inc.",984153
"EAU","Elitavia Malta Limited",9
"EK","Emirates",4
"ELL","Ellis Air Taxi Inc.",376
"EM","Empire Airlines Inc.",15764
