
UNIQUE_CARRIER,Description,Sum(DEPARTURES_PERFORMED)
"PFQ","Asia Pacific",1175
"PH","Polynesian Airlines Ltd.",796
"PM","Prescott Support Company, Inc.",7
"PO","Polar Air Cargo Airways",3944
"PR","Philippine Airlines Inc.",8
"PT","Piedmont Airlines",98241
"Q5","40-Mile Air",934
"QF","Qantas Airways Ltd.",577
"QK","Jazz Aviation LP",2
"QX","Horizon Air",109718
"RU","AirBridgeCargo Airlines Limited",56
"RVQ","Reeve Air Alaska, LLC",644
"S2","Star Marianas Air Inc.",24177
"SEB","Seaborne Virgin Islands, Inc.",4204
"SNK","Spernak Airways Inc.",2872
"SQ","Singapore Airlines Ltd.",257
"SVW","Global Jet Luxembourg, Sa",11
"SY","Sun Country Airlines d/b/a MN Airlines",34197
"TK","Turk Hava Yollari A.O.",210
"TP","TAP-TAP Air Portugal",5
"TQ","Tailwind Air, LLC",243
"U7","USA Jet Airlines Inc.",2988
"UA","United Air Lines Inc.",443758
"V8","Iliamna Air Taxi",3487
"VB","Aeroenlaces Nacionales, S.A. de C.V. d/b/a VivaAerobus",8
"VI","Vieques Air Link Inc.",11925
"VIQ","Volga-Dnepr Airlines",8
"VJT","VistaJet Limited",2
"VS","Virgin Atlantic Airways",8
"W8","Cargojet Airways Ltd.",20
"WGT","Volkswagen AirSevice GmbH dba Volkswagon",21
"WI","Sky Lease Cargo",405
"WL","Caribbean Sun Airlines, Inc. d/b/a World Atlantic Airlines",142
"WN","Southwest Airlines Co.",1043850
"WST","Friday Harbor Seaplanes",1476
"X4","Air Excursions LLC",1984
"X7","Challenge Airlines (BE) S.A.",2
"X9","Omni Air International LLC",412
"XP","TEM Enterprises dba  Avelo Airlines",3134
"YR","Grand Canyon Airlines, Inc. d/b/a Grand Canyon Airlines d/b/a Scenic Airlines",5411
"YV","Mesa Airlines Inc.",156853
"YX","Republic Airline",327667
"Z3","Bidzy Ta Hot Aana, Inc. d/b/a Tanana Air Service",4496
"Z3Q","PM Air, LLC",4723
"ZPQ","Silk Way Airlines, LLC",1
"ZW","Air Wisconsin Airlines Corp",86241
"All Rows","All Rows (including those not displayed)",7564057
